1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
127,184,187,72,54,100,53,91,75,84,72,80,75,73,50,69,,1
80,70,114,72,54,100,52,91,75,84,71,79,74,74,48,69,,1
64,30,92,71,54,101,53,92,75,86,72,80,76,74,48,69,,1
104,135,162,73,54,103,57,94,77,88,73,81,77,75,51,71,,1
134,201,202,75,53,103,54,95,77,89,74,84,79,76,52,72,,1
109,141,159,73,54,102,50,95,77,89,76,84,78,78,52,72,,1
67,34,92,73,53,104,41,95,77,91,75,85,79,80,54,72,,1
81,69,116,76,54,104,39,97,79,91,77,86,81,80,56,74,,1
125,177,187,75,54,106,34,98,80,91,77,88,80,82,57,74,,1
128,181,186,75,54,106,38,97,81,92,77,89,81,82,56,75,,1
83,79,121,75,54,108,38,98,81,94,77,90,81,83,57,76,,1
64,31,91,75,54,109,35,99,82,94,79,90,81,85,58,76,,1
94,101,142,76,54,109,39,100,84,96,80,93,85,86,56,79,,1
134,196,200,77,54,109,38,102,86,96,81,94,84,86,57,79,,1
116,155,171,77,54,111,38,102,85,97,81,96,87,87,55,80,,1
76,55,108,77,53,112,41,103,85,98,82,96,85,88,55,82,,1
77,55,110,77,52,113,39,104,86,100,82,98,87,89,54,81,,1
121,158,176,78,54,113,44,106,88,101,83,101,88,89,54,83,,1
488,714,518,353,144,148,238,136,157,207,139,96,141,209,130,172,,1
195,262,208,295,149,178,167,150,144,189,144,100,150,161,99,152,,1
132,38,70,132,152,174,140,152,147,226,150,107,159,182,89,183,,1
262,378,320,260,184,209,236,185,177,284,176,121,179,222,103,203,,1
371,721,542,291,190,242,293,209,192,297,185,126,190,213,117,215,,1
268,420,325,256,192,265,238,218,196,284,188,129,193,191,118,206,,1
144,24,73,327,195,267,187,230,193,281,192,130,202,190,112,214,,1
256,305,271,347,202,279,252,242,196,276,196,133,210,188,115,214,,1
403,725,553,308,221,312,328,258,226,292,210,136,218,203,128,232,,1
306,485,372,337,225,318,273,264,228,305,215,136,220,206,126,241,,1
168,44,90,324,232,337,221,271,232,300,219,139,226,199,119,237,,1
264,291,266,274,218,341,276,280,223,293,218,145,232,184,118,236,,1
417,733,561,272,239,359,351,292,244,300,230,148,239,201,125,241,,1
315,447,354,302,237,365,293,301,247,308,229,151,242,201,127,247,,1
176,42,93,298,243,376,239,307,258,312,235,154,245,205,128,256,,1
287,328,295,313,253,389,307,316,267,322,243,158,252,211,128,263,,1
423,716,552,314,256,398,367,326,276,326,248,164,258,217,130,269,,1
304,411,332,331,258,404,304,330,288,335,253,167,262,226,134,277,,1
171,43,91,327,256,375,236,334,292,342,256,170,262,231,134,280,,1
305,373,327,330,260,412,322,343,296,342,260,174,269,232,134,277,,1
311,300,239,166,43,11,96,105,43,123,72,68,99,61,53,160,,2
144,44,89,360,53,32,70,101,40,104,79,70,103,70,62,122,,2
259,392,338,291,77,64,169,130,72,154,101,77,121,80,73,149,,2
347,665,516,150,102,124,232,135,119,164,114,82,128,119,92,166,,2
200,289,253,154,97,129,159,135,113,153,110,82,130,115,90,165,,2
97,28,100,0,125,168,149,154,175,208,139,88,143,157,120,207,,2
268,403,354,148,120,152,215,150,164,196,138,94,146,157,120,193,,2
364,668,516,250,90,112,223,149,105,173,125,100,145,117,88,189,,2
326,305,251,847,0,0,78,166,0,0,12,103,122,0,0,49,,2
162,34,129,426,227,304,252,124,687,57,192,90,130,186,472,155,,2
268,378,372,317,290,290,363,283,890,718,316,172,201,352,511,465,,2
366,670,535,0,276,361,356,176,886,499,296,150,175,393,477,305,,2
226,318,289,197,239,358,282,176,843,406,279,124,174,365,422,280,,2
170,64,138,209,304,400,278,242,862,566,309,128,192,313,357,384,,2
312,442,406,359,302,357,336,311,869,715,316,133,208,329,318,427,,2
380,658,554,402,325,407,378,338,883,743,331,138,213,346,308,443,,2
236,248,273,323,345,428,300,370,885,753,330,134,220,325,278,462,,2
316,178,324,1023,187,304,341,713,728,1023,311,181,223,262,154,604,,2
502,603,661,895,213,314,371,818,738,1009,300,208,219,243,150,610,,2
495,637,670,604,253,371,345,764,803,958,320,197,223,320,179,594,,2
670,858,665,867,659,841,654,0,589,615,357,179,0,608,373,11,,3
376,392,310,1023,558,556,403,180,370,308,296,88,117,638,372,418,,3
267,113,80,886,69,0,23,142,0,0,170,0,68,331,202,239,,3
449,523,402,837,27,59,188,244,44,33,163,2,136,323,189,276,,3
424,730,696,1023,589,1023,775,141,630,427,312,77,91,605,383,141,,3
273,419,411,756,579,935,666,160,911,581,481,137,141,1023,610,306,,3
261,327,298,852,532,715,503,160,683,435,428,90,133,978,481,259,,3
385,604,470,891,513,611,499,170,659,363,410,66,136,918,428,265,,3
336,482,374,769,494,641,461,176,690,357,406,90,142,905,434,313,,3
179,274,271,949,465,859,525,141,770,414,449,153,123,906,435,227,,3
204,461,416,916,439,994,652,82,878,423,459,160,81,887,444,83,,3
314,726,583,738,408,1023,765,80,1023,537,552,208,114,868,467,208,,3
206,439,350,830,356,794,529,53,688,195,518,150,101,833,371,228,,3
135,256,229,714,334,819,502,116,761,252,490,155,145,796,369,269,,3
250,426,323,793,316,531,411,136,661,150,414,96,151,760,345,318,,3
295,581,461,472,301,859,601,147,809,316,468,171,160,722,360,260,,3
169,348,289,379,277,813,516,131,787,284,436,168,153,695,329,281,,3
134,273,235,424,256,778,489,137,770,256,432,169,156,670,315,293,,3
250,518,404,412,232,740,544,141,759,247,416,169,157,646,295,266,,3
244,525,408,461,208,746,536,139,755,227,404,163,156,620,274,258,,3
221,165,164,312,64,10,86,45,4,158,69,118,77,122,0,65,,4
299,483,422,563,143,285,310,122,203,100,114,68,113,6,182,171,,4
228,324,292,493,175,332,278,136,243,125,125,76,122,28,175,195,,4
98,17,95,422,161,312,216,140,216,117,114,75,122,22,159,190,,4
176,278,277,405,187,338,299,151,266,178,127,109,135,68,161,228,,4
322,498,401,476,147,270,283,138,176,100,108,89,119,15,118,192,,4
196,181,188,453,154,291,228,137,194,85,104,90,120,9,128,170,,4
80,49,117,336,181,322,234,146,253,132,128,97,133,21,141,184,,4
205,374,330,20,200,329,311,151,346,307,169,131,149,41,119,299,,4
416,468,412,1023,19,38,238,105,26,0,0,0,0,0,220,15,,4
252,140,148,505,80,72,84,66,47,0,0,0,47,8,153,203,,4
190,87,217,1023,34,150,197,77,133,0,6,0,40,0,440,55,,4
322,423,449,964,43,185,260,83,159,6,21,0,50,0,457,60,,4
327,472,504,1023,71,212,277,72,226,40,45,26,4,2,420,16,,4
162,112,278,1000,110,238,177,66,195,86,66,65,0,25,344,0,,4
123,99,155,449,134,91,90,37,0,339,25,254,0,163,118,0,,4
293,381,464,1023,288,126,293,118,109,0,16,0,84,0,0,50,,4
343,446,586,940,238,491,442,329,299,347,159,330,187,99,36,121,,4
162,109,297,925,234,392,256,243,269,428,151,463,122,288,54,149,,4
199,181,216,35,104,173,129,90,86,409,117,780,60,629,10,343,,4
236,230,212,105,78,101,167,73,88,41,76,149,85,103,66,32,,5
126,299,256,109,84,107,185,79,97,49,80,161,90,107,66,40,,5
55,120,132,107,85,111,152,74,100,42,79,141,88,107,65,50,,5
19,0,57,104,88,115,140,78,109,49,85,146,95,107,68,65,,5
91,176,181,110,92,120,179,92,114,60,90,164,104,106,71,92,,5
142,306,263,117,94,126,197,93,119,66,92,168,107,105,71,96,,5
62,115,132,97,91,128,161,92,115,59,88,163,105,103,69,97,,5
29,1,67,110,96,131,150,92,123,61,92,168,108,101,67,94,,5
109,202,202,107,96,132,191,99,131,76,102,177,113,104,72,108,,5
123,306,257,0,59,120,191,0,202,87,190,377,0,120,52,225,,5
92,128,124,224,37,21,114,287,83,0,101,0,354,0,178,51,,5
133,63,108,213,136,181,169,328,154,38,133,228,380,52,131,251,,5
226,293,266,176,202,215,270,321,454,119,189,241,366,16,419,266,,5
222,289,252,167,164,194,226,317,355,83,165,268,355,55,283,256,,5
120,50,91,168,110,177,158,313,207,79,138,281,348,82,160,248,,5
189,145,166,166,172,208,218,306,290,92,150,258,341,67,118,225,,5
270,354,301,190,167,206,239,296,278,67,142,273,327,48,123,209,,5
169,154,157,22,133,187,195,304,298,104,151,273,331,80,120,239,,5
188,96,134,0,246,363,270,252,405,152,151,260,327,2,170,257,,5
240,343,278,0,304,428,335,72,627,588,235,309,105,140,325,354,,5
363,522,407,0,0,192,248,70,138,76,104,149,107,96,58,87,,6
31,44,76,0,0,122,123,58,113,76,122,177,43,115,62,88,,6
61,108,135,0,0,141,166,53,111,81,144,168,30,120,56,72,,6
212,491,383,0,0,117,220,53,104,94,141,207,42,132,66,91,,6
104,229,197,0,0,129,166,49,110,84,154,188,35,132,57,74,,6
18,10,64,0,0,105,121,45,117,85,156,208,27,142,61,84,,6
167,376,311,0,0,107,202,46,114,88,162,206,26,144,65,84,,6
182,430,334,0,0,90,187,43,116,87,157,226,24,152,71,92,,6
10,6,54,0,0,73,101,38,113,86,161,239,20,158,76,98,,6
88,190,187,0,0,62,145,36,113,86,161,248,19,166,82,102,,6
213,504,385,0,0,58,193,35,120,88,163,257,19,168,80,104,,6
68,149,144,0,0,62,120,31,118,88,161,257,17,168,77,98,,6
28,31,72,0,0,12,62,35,0,80,0,520,0,206,77,126,,6
170,451,467,0,103,875,649,17,282,104,569,94,109,780,892,0,,6
0,233,171,0,0,0,114,0,164,77,424,769,669,1023,203,86,,6
83,149,103,106,1023,1023,605,17,1023,948,1005,1023,364,980,1023,0,,6
222,551,360,59,987,1019,782,18,1023,834,933,1016,314,901,913,140,,6
220,577,346,1010,875,943,687,41,991,728,854,955,0,826,812,0,,6
362,370,225,334,825,1023,730,459,960,634,790,906,568,758,710,830,,6
472,634,393,0,770,979,764,526,923,554,735,852,576,690,622,788,,6
353,389,349,121,126,127,208,114,140,107,115,61,101,113,79,80,,7
164,230,233,125,134,136,172,120,154,107,120,56,104,117,82,84,,7
68,15,106,135,140,144,144,125,163,110,125,53,106,120,84,86,,7
183,292,291,135,148,155,220,134,193,122,140,50,113,130,117,99,,7
188,298,284,137,153,159,202,136,200,123,143,51,113,131,107,94,,7
144,32,108,259,117,121,125,138,141,84,110,33,102,115,88,107,,7
428,328,293,541,35,13,125,188,0,34,5,0,88,50,0,81,,7
316,600,503,0,58,289,368,71,783,482,255,155,150,250,657,532,,7
461,325,332,314,268,524,340,286,393,1023,429,150,554,505,381,1023,,7
455,454,638,1023,0,1023,748,1023,0,973,1003,170,454,1023,0,959,,7
515,797,794,350,576,700,713,993,948,857,602,161,368,904,897,909,,7
396,310,481,1023,606,567,468,934,601,760,721,153,303,887,454,814,,7
398,277,417,0,541,497,417,877,810,677,764,145,268,833,595,758,,7
522,558,592,0,479,400,389,827,780,612,588,138,222,782,524,699,,7
474,355,431,0,582,295,266,779,856,546,477,128,180,718,484,643,,7
344,150,306,105,538,316,227,730,758,504,462,125,144,718,392,591,,7
457,458,506,181,468,326,301,686,817,461,495,121,110,688,445,548,,7
456,426,452,15,534,252,233,645,887,411,455,113,78,627,440,506,,7
307,106,249,126,451,273,189,609,847,378,448,108,50,610,375,464,,7
411,336,371,0,521,130,174,579,842,346,388,105,25,547,349,433,,7
238,178,190,16,0,7,122,0,0,17,4,12,14,18,6,23,,1
204,272,234,0,158,481,344,87,219,1023,354,388,176,626,262,563,,1
330,635,451,824,193,311,353,137,148,270,254,253,197,416,194,360,,1
216,331,243,433,308,423,345,252,264,606,389,303,320,556,260,475,,1
156,126,108,403,396,519,352,288,351,641,504,314,385,642,317,512,,1
207,195,159,0,483,635,437,367,437,863,666,374,468,742,340,580,,1
287,482,355,259,511,632,503,361,493,842,692,388,487,755,362,556,,1
385,544,387,977,469,544,451,407,491,358,564,279,476,590,379,492,,1
325,393,283,788,521,610,436,463,556,530,619,311,537,660,407,556,,1
298,338,258,824,546,644,447,507,597,578,648,332,571,679,418,588,,1
313,357,268,732,577,679,468,518,644,530,674,356,582,650,432,612,,1
373,526,389,756,607,713,520,562,687,578,696,378,616,673,443,639,,1
424,677,489,646,623,737,548,594,723,607,707,387,632,688,452,639,,1
470,457,326,650,703,706,483,565,812,841,663,589,658,518,536,890,,1
487,411,302,802,764,800,569,710,953,947,856,608,721,849,650,962,,1
506,491,355,845,748,760,578,703,969,827,834,612,719,827,621,911,,1
555,656,471,829,758,783,611,719,991,820,844,613,732,802,601,902,,1
